forecast_date,target_date,forecast_1day,forecast_5day,actual_1day,actual_5day
2025-06-11,2025-06-15,22.318787495443406,22.15415959515498,21.34,23.01
2025-06-12,2025-06-16,22.318787495443406,22.15415959515498,21.95,22.95
2025-06-13,2025-06-17,21.634958715220243,21.596771411926944,22.95,23.3
2025-06-14,2025-06-18,21.634958715220243,21.596771411926944,23.08,22.9
2025-06-15,2025-06-19,21.634958715220243,21.596771411926944,23.01,22.75
2025-06-16,2025-06-20,21.634958715220243,21.596771411926944,22.95,22.31
2025-06-17,2025-06-21,21.634958715220243,21.596771411926944,23.3,22.48
2025-06-18,2025-06-22,21.634958715220243,21.596771411926944,22.9,21.74
2025-06-19,2025-06-23,21.634958715220243,21.596771411926944,22.75,22.84
2025-06-20,2025-06-24,21.634958715220243,21.596771411926944,22.31,21.85
2025-06-21,2025-06-25,21.634958715220243,21.596771411926944,22.48,22.75
2025-06-22,2025-06-26,21.634958715220243,21.596771411926944,21.74,21.65
2025-06-23,2025-06-27,21.634958715220243,21.596771411926944,22.84,21.53
2025-06-24,2025-06-28,21.634958715220243,21.596771411926944,21.85,22.9
2025-06-25,2025-06-29,21.634958715220243,21.596771411926944,22.75,23.84
2025-06-26,2025-06-30,21.634958715220243,21.596771411926944,21.65,22.09
2025-06-27,2025-07-01,21.634958715220243,21.596771411926944,21.53,23.13
2025-06-28,2025-07-02,21.634958715220243,21.596771411926944,22.9,21.51
2025-06-29,2025-07-03,21.634958715220243,21.596771411926944,23.84,22.69
2025-06-30,2025-07-04,21.634958715220243,21.596771411926944,22.09,23.61
2025-07-01,2025-07-05,21.634958715220243,21.596771411926944,23.13,22.65
2025-07-02,2025-07-06,21.634958715220243,21.596771411926944,21.51,23.21
2025-07-03,2025-07-07,22.1347260541357,22.064096921680598,22.69,23.63
2025-07-04,2025-07-08,22.1347260541357,22.064096921680598,23.61,22.22
2025-07-05,2025-07-09,22.1347260541357,22.064096921680598,22.65,22.22
2025-07-06,2025-07-10,22.1347260541357,22.064096921680598,23.21,23.75
2025-07-07,2025-07-11,22.1347260541357,22.064096921680598,23.63,22.85
2025-07-08,2025-07-12,22.1347260541357,22.064096921680598,22.22,21.7
2025-07-09,2025-07-13,22.1347260541357,22.064096921680598,22.22,24.21
2025-07-10,2025-07-14,22.1347260541357,22.064096921680598,23.75,23.17
2025-07-11,2025-07-15,22.1347260541357,22.064096921680598,22.85,22.64
2025-07-12,2025-07-16,22.1347260541357,22.064096921680598,21.7,22.04
2025-07-13,2025-07-17,22.1347260541357,22.064096921680598,24.21,21.27
2025-07-14,2025-07-18,22.1347260541357,22.064096921680598,23.17,21.88
2025-07-15,2025-07-19,22.1347260541357,22.064096921680598,22.64,23.02
2025-07-16,2025-07-20,22.1347260541357,22.064096921680598,22.04,22.13
2025-07-17,2025-07-21,22.1347260541357,22.064096921680598,21.27,22.42
2025-07-18,2025-07-22,22.1347260541357,22.064096921680598,21.88,23.33
2025-07-19,2025-07-23,22.1347260541357,22.064096921680598,23.02,22.52
2025-07-20,2025-07-24,22.1347260541357,22.064096921680598,22.13,23.67
2025-07-21,2025-07-25,22.1347260541357,22.064096921680598,22.42,22.99
2025-07-22,2025-07-26,22.1347260541357,22.064096921680598,23.33,21.14
2025-07-23,2025-07-27,22.69692999333758,22.313414156334574,22.52,22.49
2025-07-24,2025-07-28,22.69692999333758,22.313414156334574,23.67,23.56
2025-07-25,2025-07-29,22.69692999333758,22.313414156334574,22.99,22.24
2025-07-26,2025-07-30,22.69692999333758,22.313414156334574,21.14,24.37
2025-07-27,2025-07-31,22.69692999333758,22.313414156334574,22.49,20.87
2025-07-28,2025-08-01,22.69692999333758,22.313414156334574,23.56,22.64
2025-07-29,2025-08-02,22.69692999333758,22.313414156334574,22.24,22.14
2025-07-30,2025-08-03,22.69692999333758,22.313414156334574,24.37,22.52
2025-07-31,2025-08-04,22.69692999333758,22.313414156334574,20.87,23.77
2025-08-01,2025-08-05,22.69692999333758,22.313414156334574,22.64,22.99
2025-08-02,2025-08-06,22.69692999333758,22.313414156334574,22.14,22.76
2025-08-03,2025-08-07,22.69692999333758,22.313414156334574,22.52,21.8
2025-08-04,2025-08-08,22.69692999333758,22.313414156334574,23.77,22.3
2025-08-05,2025-08-09,22.69692999333758,22.313414156334574,22.99,23.11
2025-08-06,2025-08-10,22.69692999333758,22.313414156334574,22.76,22.86
2025-08-07,2025-08-11,22.69692999333758,22.313414156334574,21.8,22.44
2025-08-08,2025-08-12,22.69692999333758,22.313414156334574,22.3,21.91
2025-08-09,2025-08-13,22.69692999333758,22.313414156334574,23.11,21.96
2025-08-10,2025-08-14,22.69692999333758,22.313414156334574,22.86,23.12
2025-08-11,2025-08-15,22.69692999333758,22.313414156334574,22.44,22.72
2025-08-12,2025-08-16,22.427998916095945,22.260085955723977,21.91,23.97
2025-08-13,2025-08-17,22.427998916095945,22.260085955723977,21.96,22.69
2025-08-14,2025-08-18,22.427998916095945,22.260085955723977,23.12,23.19
2025-08-15,2025-08-19,22.427998916095945,22.260085955723977,22.72,22.88
2025-08-16,2025-08-20,22.427998916095945,22.260085955723977,23.97,22.94
2025-08-17,2025-08-21,22.427998916095945,22.260085955723977,22.69,21.54
2025-08-18,2025-08-22,22.427998916095945,22.260085955723977,23.19,22.09
2025-08-19,2025-08-23,22.427998916095945,22.260085955723977,22.88,22.59
2025-08-20,2025-08-24,22.427998916095945,22.260085955723977,22.94,23.07
2025-08-21,2025-08-25,22.427998916095945,22.260085955723977,21.54,22.82
2025-08-22,2025-08-26,22.427998916095945,22.260085955723977,22.09,22.57
2025-08-23,2025-08-27,22.427998916095945,22.260085955723977,22.59,22.36
2025-08-24,2025-08-28,22.427998916095945,22.260085955723977,23.07,22.41
2025-08-25,2025-08-29,22.427998916095945,22.260085955723977,22.82,23.46
2025-08-26,2025-08-30,22.427998916095945,22.260085955723977,22.57,23.12
2025-08-27,2025-08-31,22.427998916095945,22.260085955723977,22.36,21.8
2025-08-28,2025-09-01,22.427998916095945,22.260085955723977,22.41,22.08
2025-08-29,2025-09-02,22.427998916095945,22.260085955723977,23.46,22.08
2025-08-30,2025-09-03,22.427998916095945,22.260085955723977,23.12,22.78
2025-08-31,2025-09-04,22.427998916095945,22.260085955723977,21.8,23.06
2025-09-01,2025-09-05,22.266011705458588,22.233305005688266,22.08,23.41
2025-09-02,2025-09-06,22.266011705458588,22.233305005688266,22.08,22.53
2025-09-03,2025-09-07,22.266011705458588,22.233305005688266,22.78,22.47
2025-09-04,2025-09-08,22.266011705458588,22.233305005688266,23.06,22.83
2025-09-05,2025-09-09,22.266011705458588,22.233305005688266,23.41,22.47
2025-09-06,2025-09-10,22.266011705458588,22.233305005688266,22.53,22.66
2025-09-07,2025-09-11,22.266011705458588,22.233305005688266,22.47,22.98
2025-09-08,2025-09-12,22.266011705458588,22.233305005688266,22.83,22.86
2025-09-09,2025-09-13,22.266011705458588,22.233305005688266,22.47,21.33
2025-09-10,2025-09-14,22.266011705458588,22.233305005688266,22.66,22.94
2025-09-11,2025-09-15,22.266011705458588,22.233305005688266,22.98,23.73
2025-09-12,2025-09-16,22.266011705458588,22.233305005688266,22.86,22.28
2025-09-13,2025-09-17,22.266011705458588,22.233305005688266,21.33,22.79
2025-09-14,2025-09-18,22.266011705458588,22.233305005688266,22.94,21.77
2025-09-15,2025-09-19,22.266011705458588,22.233305005688266,23.73,22.79
2025-09-16,2025-09-20,22.266011705458588,22.233305005688266,22.28,22.23
2025-09-17,2025-09-21,22.266011705458588,22.233305005688266,22.79,23.48
2025-09-18,2025-09-22,22.266011705458588,22.233305005688266,21.77,21.34
2025-09-19,2025-09-23,22.266011705458588,22.233305005688266,22.79,22.3
2025-09-20,2025-09-24,22.266011705458588,22.233305005688266,22.23,22.6
2025-09-21,2025-09-25,22.377999208260263,22.2650184147747,23.48,21.68
2025-09-22,2025-09-26,22.377999208260263,22.2650184147747,21.34,22.54
2025-09-23,2025-09-27,22.377999208260263,22.2650184147747,22.3,21.52
2025-09-24,2025-09-28,22.377999208260263,22.2650184147747,22.6,22.49
